#BEBD7F,190-189-127
#C2B078,194-176-120
#C6A664,198-166-100
#E5BE01,229-190-001
#CDA434,205-164-052
#A98307,169-131-007
#E4A010,228-160-016
#DC9D00,220-156-000
#8A6642,138-102-066
#C7B446,199-180-070
#EAE6CA,234-230-202
#E1CC4F,225-204-079
#E6D690,230-214-144
#EDFF21,237-255-033
#F5D033,245-208-051
#F8F32B,248-243-053
#9E9764,158-151-100
#999950,153-153-080
#FAD201,250-210-001
